model,V_channel_m_s,Hf_mm,b_mm,L_mm,W_mm,tf_mm,number_of_fins,number_of_channels,used_width_mm,Dh_mm,flow_area_m2,fin_side_area_m2,base_exposed_area_m2,total_geometric_area_m2,volumetric_flow_CFM,volumetric_flow_m3_h,m_dot_kg_s,C_air_W_K,Re_Dh,Re_note,Re_b,Re_star,Nu,h_W_m2K,eta_fin,A_eff_m2,hA_eff_W_K,NTU,epsilon,R_TIM_K_W,R_spreading_contact_base_K_W,R_hs_K_W,R_total_K_W,T_chip_C,thermal_margin_C,T_air_out_chip_C,T_air_out_full_board_C,deltaT_air_chip_K,deltaT_air_full_board_K,dynamic_pressure_Pa,pressure_drop_channel_Pa_approx,status
teertstra,2,30,3,80,80.0,1.0,20,19,77.0,5.454545454545454,0.00171,0.096,0.004560000000000001,0.10056,7.2465696,12.312,0.00404928,4.07762496,698.1818181818181,Laminar indicator,384.0,14.400000000000002,2.9325237815997127,25.70845848535748,0.9222869920336443,0.09309955123522985,2.393445947936318,0.5869705947494295,0.44399088709525847,0.01646090534979424,0.03,0.5523554769706068,0.598816382320401,174.70409558010024,-89.70409558010024,86.31019955302608,103.4770554278734,61.31019955302608,78.4770554278734,2.368,4.775466666666667,FAIL
teertstra,2,30,3,100,80.0,1.0,20,19,77.0,5.454545454545454,0.00171,0.12,0.0057,0.1257,7.2465696,12.312,0.00404928,4.07762496,698.1818181818181,Laminar indicator,384.0,11.520000000000001,2.614213655223488,22.917939710792574,0.9300155355767931,0.11730186426921516,2.6883170532854463,0.6592850199949352,0.48277899500078525,0.01646090534979424,0.03,0.5079773576555572,0.5544382630053514,163.60956575133784,-78.60956575133784,86.31019955302608,103.4770554278734,61.31019955302608,78.4770554278734,2.368,5.969333333333334,FAIL
teertstra,2,30,3,120,80.0,1.0,20,19,77.0,5.454545454545454,0.00171,0.144,0.00684,0.15084,7.2465696,12.312,0.00404928,4.07762496,698.1818181818181,Laminar indicator,384.0,9.600000000000001,2.362079846022996,20.707566650134932,0.9362500442209301,0.14166000636781392,2.9334340235200456,0.7193977014306009,0.5129544855468917,0.01646090534979424,0.03,0.4780946558068176,0.5245555611566118,156.13889028915295,-71.13889028915295,86.31019955302608,103.4770554278734,61.31019955302608,78.4770554278734,2.368,7.163200000000001,FAIL
teertstra,2,30,3,150,80.0,1.0,20,19,77.0,5.454545454545454,0.00171,0.18,0.00855,0.18855,7.2465696,12.312,0.00404928,4.07762496,698.1818181818181,Laminar indicator,384.0,7.6800000000000015,2.062792085258952,18.083810614103477,0.9437835854276423,0.1784310453769756,3.2267132322737306,0.791321728684369,0.546754668150543,0.01646090534979424,0.03,0.4485390111833118,0.49499991653310604,148.7499791332765,-63.7499791332765,86.31019955302608,103.4770554278734,61.31019955302608,78.4770554278734,2.368,8.954,FAIL
teertstra,2,30,4,80,80.0,1.0,16,15,76.0,7.0588235294117645,0.0018,0.0768,0.0048,0.08159999999999999,7.627968,12.959999999999999,0.0042623999999999995,4.2922367999999995,903.5294117647059,Laminar indicator,512.0,25.6,3.8280960169317804,25.169731311326455,0.9237668680740143,0.0757452954680843,1.9064887350287152,0.44417137820278585,0.35864450294411254,0.01646090534979424,0.03,0.6496091711680414,0.6960700765178356,199.0175191294589,-114.01751912945889,83.24468957537479,99.55320265647973,58.24468957537479,74.55320265647973,2.368,2.8514666666666666,FAIL
teertstra,2,30,4,100,80.0,1.0,16,15,76.0,7.0588235294117645,0.0018,0.096,0.006,0.10200000000000001,7.627968,12.959999999999999,0.0042623999999999995,4.2922367999999995,903.5294117647059,Laminar indicator,512.0,20.48,3.464477657314975,22.77894059684596,0.9304046242065765,0.09531884392383136,2.171262283500986,0.5058579907569373,0.3970120047071991,0.01646090534979424,0.03,0.5868305127783822,0.6332914181281764,183.3228545320441,-98.32285453204409,83.24468957537479,99.55320265647973,58.24468957537479,74.55320265647973,2.368,3.5643333333333334,FAIL
teertstra,2,30,4,120,80.0,1.0,16,15,76.0,7.0588235294117645,0.0018,0.1152,0.0072,0.1224,7.627968,12.959999999999999,0.0042623999999999995,4.2922367999999995,903.5294117647059,Laminar indicator,512.0,17.066666666666666,3.183764700763548,20.93325290752033,0.9356088317258293,0.11498213741481553,2.406950162351589,0.560768260118265,0.4292296047667543,0.01646090534979424,0.03,0.5427835259128994,0.5892444312626935,172.31110781567338,-87.31110781567338,83.24468957537479,99.55320265647973,58.24468957537479,74.55320265647973,2.368,4.2772,FAIL
teertstra,2,30,4,150,80.0,1.0,16,15,76.0,7.0588235294117645,0.0018,0.144,0.009,0.153,7.627968,12.959999999999999,0.0042623999999999995,4.2922367999999995,903.5294117647059,Laminar indicator,512.0,13.653333333333334,2.855485430269237,18.774816704020235,0.9417852838449321,0.14461708087367023,2.7151591856736292,0.6325744156691517,0.4687775482774562,0.01646090534979424,0.03,0.49699214298464134,0.5434530483344355,160.86326208360887,-75.86326208360887,83.24468957537479,99.55320265647973,58.24468957537479,74.55320265647973,2.368,5.3465,FAIL
teertstra,2,30,5,80,80.0,1.0,13,12,73.0,8.571428571428571,0.0018,0.0624,0.0048,0.0672,7.627968,12.959999999999999,0.0042623999999999995,4.2922367999999995,1097.142857142857,Laminar indicator,640.0,40.0,4.645322165988838,24.43439459310129,0.925796172418874,0.06256968115893774,1.5288522790020198,0.3561901055883077,0.29966053086752553,0.01646090534979424,0.03,0.7774756242572861,0.8239365296070803,230.98413240177007,-145.98413240177007,83.24468957537479,99.55320265647973,58.24468957537479,74.55320265647973,2.368,1.9338666666666668,FAIL
teertstra,2,30,5,100,80.0,1.0,13,12,73.0,8.571428571428571,0.0018,0.078,0.006,0.084,7.627968,12.959999999999999,0.0042623999999999995,4.2922367999999995,1097.142857142857,Laminar indicator,640.0,32.0,4.21957095519198,22.194943224309814,0.9320436876851298,0.07869940763944012,1.7467288843441875,0.4069507265638717,0.3343230103139212,0.01646090534979424,0.03,0.6968672544636928,0.743328159813487,210.83203995337175,-125.83203995337175,83.24468957537479,99.55320265647973,58.24468957537479,74.55320265647973,2.368,2.4173333333333336,FAIL
