geometry,orientation,Ts_C,Tsur_C,epsilon,n_fins,n_channels,Lbar,Hbar,Fs,h_ch_W_m2K,Nu_ch,Ra_star,h_exp_W_m2K,Nu_exp,Ra_exp,A_channel_m2,A_exposed_m2,Q_conv_channel_W,Q_rad_channel_W,Q_conv_exposed_W,Q_rad_exposed_W,Q_total_W,status,emissivity_case,chip_power_W
Compact baseline 80x80x25mm,best_vertical_channel_Hf_aligned,70.0,25.0,0.5,27,26,40.0,12.5,0.06000597506063472,1.4007150388239804,0.10651825390296428,2.556440265418095,9.263884542301973,8.805973899526592,62413.09241743396,0.10816,0.01016,6.817560236964078,2.0704463401311144,4.235448012740463,1.717808823611409,14.841263413447063,FAIL,treated_or_oxidized_aluminum,250.0
Compact baseline 80x80x25mm,best_vertical_channel_Hf_aligned,70.0,25.0,0.85,27,26,40.0,12.5,0.06000597506063472,1.4007150388239804,0.10651825390296428,2.556440265418095,9.263884542301973,8.805973899526592,62413.09241743396,0.10816,0.01016,6.817560236964078,2.1716888491831323,4.235448012740463,2.920275000139395,16.14497209902707,FAIL,black_anodized_aluminum,250.0
Compact baseline 80x80x25mm,best_vertical_channel_Hf_aligned,70.0,40.0,0.2,27,26,40.0,12.5,0.06000597506063472,0.9561757583597182,0.07271298542659455,1.7451116527889976,8.485664804853984,8.066221297389719,42605.2649606689,0.10816,0.01016,3.1025991007256137,1.2610950766387512,2.5864306325194946,0.489598878009955,7.439723687893815,FAIL,bare_aluminum,250.0
Compact baseline 80x80x25mm,best_vertical_channel_Hf_aligned,70.0,40.0,0.5,27,26,40.0,12.5,0.06000597506063472,0.9561757583597182,0.07271298542659455,1.7451116527889976,8.485664804853984,8.066221297389719,42605.2649606689,0.10816,0.01016,3.1025991007256137,1.4752634157753644,2.5864306325194946,1.2239971950248876,8.38829034404536,FAIL,treated_or_oxidized_aluminum,250.0
Compact baseline 80x80x25mm,best_vertical_channel_Hf_aligned,70.0,40.0,0.85,27,26,40.0,12.5,0.06000597506063472,0.9561757583597182,0.07271298542659455,1.7451116527889976,8.485664804853984,8.066221297389719,42605.2649606689,0.10816,0.01016,3.1025991007256137,1.5474021458794684,2.5864306325194946,2.080795231542308,9.317227110666884,FAIL,black_anodized_aluminum,250.0
Compact baseline 80x80x25mm,best_vertical_channel_Hf_aligned,70.0,50.0,0.2,27,26,40.0,12.5,0.06000597506063472,0.647793691747458,0.04926187769942647,1.1822850647863588,7.764932825761457,7.381114853385417,28864.38146451072,0.10816,0.01016,1.4013073139881014,0.8787056431793892,1.577834350194728,0.34114263466027483,4.198989942022493,FAIL,bare_aluminum,250.0
Compact baseline 80x80x25mm,best_vertical_channel_Hf_aligned,70.0,50.0,0.5,27,26,40.0,12.5,0.06000597506063472,0.647793691747458,0.04926187769942647,1.1822850647863588,7.764932825761457,7.381114853385417,28864.38146451072,0.10816,0.01016,1.4013073139881014,1.0279338272202723,1.577834350194728,0.852856586650687,4.859932078053789,FAIL,treated_or_oxidized_aluminum,250.0
Compact baseline 80x80x25mm,best_vertical_channel_Hf_aligned,70.0,50.0,0.85,27,26,40.0,12.5,0.06000597506063472,0.647793691747458,0.04926187769942647,1.1822850647863588,7.764932825761457,7.381114853385417,28864.38146451072,0.10816,0.01016,1.4013073139881014,1.078198641038453,1.577834350194728,1.4498561973061677,5.50719650252745,FAIL,black_anodized_aluminum,250.0
Compact baseline 80x80x25mm,best_vertical_channel_Hf_aligned,85.0,25.0,0.2,27,26,40.0,12.5,0.06000597506063472,1.8248990202961564,0.1387755908970461,3.3306823956780414,9.848404125990097,9.361600880218724,81315.48817573344,0.10816,0.01016,11.842864682113937,2.5379673659475785,6.003587155203563,0.9853229925421095,21.369742195807188,FAIL,bare_aluminum,250.0
Compact baseline 80x80x25mm,best_vertical_channel_Hf_aligned,85.0,25.0,0.5,27,26,40.0,12.5,0.06000597506063472,1.8248990202961564,0.1387755908970461,3.3306823956780414,9.848404125990097,9.361600880218724,81315.48817573344,0.10816,0.01016,11.842864682113937,2.9689834452400854,6.003587155203563,2.4633074813552738,23.27874276391286,FAIL,treated_or_oxidized_aluminum,250.0
Compact baseline 80x80x25mm,best_vertical_channel_Hf_aligned,85.0,25.0,0.85,27,26,40.0,12.5,0.06000597506063472,1.8248990202961564,0.1387755908970461,3.3306823956780414,9.848404125990097,9.361600880218724,81315.48817573344,0.10816,0.01016,11.842864682113937,3.114163413203407,6.003587155203563,4.187622718303965,25.148237968824873,FAIL,black_anodized_aluminum,250.0
Compact baseline 80x80x25mm,best_vertical_channel_Hf_aligned,85.0,40.0,0.2,27,26,40.0,12.5,0.06000597506063472,1.4007150388239804,0.10651825390296428,2.556440265418095,9.263884542301973,8.805973899526592,62413.09241743396,0.10816,0.01016,6.817560236964078,2.0291889013165676,4.235448012740463,0.7877983411075009,13.86999549212861,FAIL,bare_aluminum,250.0
Compact baseline 80x80x25mm,best_vertical_channel_Hf_aligned,85.0,40.0,0.5,27,26,40.0,12.5,0.06000597506063472,1.4007150388239804,0.10651825390296428,2.556440265418095,9.263884542301973,8.805973899526592,62413.09241743396,0.10816,0.01016,6.817560236964078,2.3738005208843354,4.235448012740463,1.969495852768752,15.396304623357628,FAIL,treated_or_oxidized_aluminum,250.0
Compact baseline 80x80x25mm,best_vertical_channel_Hf_aligned,85.0,40.0,0.85,27,26,40.0,12.5,0.06000597506063472,1.4007150388239804,0.10651825390296428,2.556440265418095,9.263884542301973,8.805973899526592,62413.09241743396,0.10816,0.01016,6.817560236964078,2.4898767098997427,4.235448012740463,3.348142949706878,16.891027909311163,FAIL,black_anodized_aluminum,250.0
Compact baseline 80x80x25mm,best_vertical_channel_Hf_aligned,85.0,50.0,0.2,27,26,40.0,12.5,0.06000597506063472,1.106703113839591,0.08415993261137575,2.019838427845252,8.774921398919236,8.341180036995473,49312.46161731573,0.10816,0.01016,4.189535307751156,1.6467994678572055,3.1203620494556805,0.6393420977578207,9.596038922821863,FAIL,bare_aluminum,250.0
Compact baseline 80x80x25mm,best_vertical_channel_Hf_aligned,85.0,50.0,0.5,27,26,40.0,12.5,0.06000597506063472,1.106703113839591,0.08415993261137575,2.019838427845252,8.774921398919236,8.341180036995473,49312.46161731573,0.10816,0.01016,4.189535307751156,1.9264709323292435,3.1203620494556805,1.5983552443945517,10.834723533930633,FAIL,treated_or_oxidized_aluminum,250.0
Compact baseline 80x80x25mm,best_vertical_channel_Hf_aligned,85.0,50.0,0.85,27,26,40.0,12.5,0.06000597506063472,1.106703113839591,0.08415993261137575,2.019838427845252,8.774921398919236,8.341180036995473,49312.46161731573,0.10816,0.01016,4.189535307751156,2.0206732050587273,3.1203620494556805,2.7172039154707375,12.0477744777363,FAIL,black_anodized_aluminum,250.0
Compact baseline 80x80x25mm,best_vertical_channel_Hf_aligned,100.0,25.0,0.2,27,26,40.0,12.5,0.06000597506063472,2.22989010093652,0.16957339170619928,4.070324103015601,10.317974591266305,9.807960638085842,99373.14704627934,0.10816,0.01016,18.08886849879705,3.4088778475277715,7.862296638544924,1.3234392872827605,30.68348227215251,FAIL,bare_aluminum,250.0
Compact baseline 80x80x25mm,best_vertical_channel_Hf_aligned,100.0,25.0,0.5,27,26,40.0,12.5,0.06000597506063472,2.22989010093652,0.16957339170619928,4.070324103015601,10.317974591266305,9.807960638085842,99373.14704627934,0.10816,0.01016,18.08886849879705,3.98779827981628,7.862296638544924,3.3085982182069014,33.24756163536516,FAIL,treated_or_oxidized_aluminum,250.0
